City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,utrik,11.2278,169.8474,300.59,78,98,10.34,MH,1701925936
1,tupa,-21.9347,-50.5136,298.11,65,32,1.58,BR,1701925936
2,blackmans bay,-43.0167,147.3167,296.22,57,100,0.45,AU,1701925936
3,puerto natales,-51.7236,-72.4875,277.45,92,0,1.93,CL,1701925850
4,papatowai,-46.5619,169.4708,286.95,56,97,6.12,NZ,1701925937
5,bethel,41.3712,-73.414,272.87,73,0,1.54,US,1701925810
6,waitangi,-43.9535,-176.5597,287.49,93,100,4.02,NZ,1701925937
7,invercargill,-46.4,168.35,286.52,62,98,7.01,NZ,1701925938
8,port mathurin,-19.6833,63.4167,299.41,75,6,3.9,MU,1701925938
9,ulladulla,-35.35,150.4667,297.08,68,47,3.52,AU,1701925938
10,puerto ayora,-0.7393,-90.3518,297.12,86,92,3.33,EC,1701925939
11,port alfred,-33.5906,26.891,293.81,86,42,2.24,ZA,1701925939
12,lebu,-37.6167,-73.65,284.78,93,7,6.78,CL,1701925939
13,thief river falls,48.1191,-96.1812,271.68,93,20,2.06,US,1701925940
14,qaqortoq,60.7167,-46.0333,274.55,60,100,4.97,GL,1701925889
15,saipan,15.1355,145.701,301.54,83,40,4.63,MP,1701925941
16,albany,42.6001,-73.9662,270.17,79,33,3.8,US,1701925941
17,constantia,44.1833,28.65,275.53,89,100,7.93,RO,1701925773
18,hermanus,-34.4187,19.2345,291.77,79,5,4.47,ZA,1701925942
19,sweet home,44.3976,-122.7362,282.27,82,100,1.34,US,1701925942
20,malango,-2.9627,119.9001,299.62,71,100,1.09,ID,1701925943
21,adamstown,-25.066,-130.1015,295.8,82,54,6.15,PN,1701925872
22,aasiaat,68.7098,-52.8699,266.14,82,70,6.23,GL,1701925944
23,ushuaia,-54.8,-68.3,276.16,93,95,8.94,AR,1701925944
24,selibaby,15.159,-12.1829,295.35,15,36,4.56,MR,1701925944
25,port-aux-francais,-49.35,70.2167,277.78,81,100,8.48,TF,1701925944
26,grytviken,-54.2811,-36.5092,272.36,83,52,10.12,GS,1701925945
27,edinburgh of the seven seas,-37.0676,-12.3116,287.25,79,15,6.35,SH,1701925858
28,sitka,57.0531,-135.33,278.09,75,75,4.12,US,1701925945
29,motueka,-41.1333,173.0167,291.94,60,2,4.12,NZ,1701925871
30,asbestos,45.7668,-71.9324,262.13,99,100,1.68,CA,1701925946
31,longyearbyen,78.2186,15.6401,269.06,63,20,10.29,SJ,1701925946
32,tikrit,34.6071,43.6782,288.76,45,21,2.16,IQ,1701925946
33,olonkinbyen,70.9221,-8.7187,268.88,87,100,7.46,SJ,1701925924
34,carnarvon,-24.8667,113.6333,299.78,54,0,8.76,AU,1701925947
35,manturovo,58.3353,44.7619,254.14,99,82,1.19,RU,1701925947
36,iqaluit,63.7506,-68.5145,262.58,96,90,3.42,CA,1701925947
37,sambava,-14.2667,50.1667,300.38,63,35,2.96,MG,1701925948
38,berbera,10.4396,45.0143,298.64,65,10,2.73,SO,1701925948
39,troitskoye,52.9821,84.6757,258.48,89,100,5.81,RU,1701925948
40,bredasdorp,-34.5322,20.0403,291.53,84,14,3.0,ZA,1701925949
41,dryden,49.7833,-92.7503,268.75,97,24,1.73,CA,1701925949
42,barah,13.7,30.3667,291.77,23,95,4.44,SD,1701925949
43,west island,-12.1568,96.8225,302.14,74,40,4.63,CC,1701925949
44,tazovsky,67.4667,78.7,251.94,96,100,6.65,RU,1701925950
45,hammerfest,70.6634,23.6821,267.4,68,43,9.77,NO,1701925950
46,nova sintra,14.8667,-24.7167,294.63,70,97,6.55,CV,1701925950
47,hawaiian paradise park,19.5933,-154.9731,295.39,92,75,2.06,US,1701925950
48,ulanhot,46.0833,122.0833,265.73,45,59,2.77,CN,1701925950
49,quelimane,-17.8786,36.8883,300.67,65,26,3.14,MZ,1701925817
50,touros,-5.1989,-35.4608,299.09,80,65,5.02,BR,1701925951
51,nadym,65.5333,72.5167,242.45,96,94,3.88,RU,1701925951
52,hamilton,39.1834,-84.5333,274.1,86,20,3.09,US,1701925839
53,cabo san lucas,22.8909,-109.9124,297.32,72,7,0.45,MX,1701925952
54,dudinka,69.4058,86.1778,250.75,97,100,4.47,RU,1701925952
55,nogliki,51.8333,143.1667,272.78,88,100,0.89,RU,1701925952
56,minas de marcona,-15.2119,-75.1103,287.32,88,99,4.7,PE,1701925953
57,ust-nera,64.5667,143.2,227.75,92,66,0.72,RU,1701925953
58,antsiranana,-12.2787,49.2917,301.53,61,56,5.69,MG,1701925953
59,thompson,55.7435,-97.8558,265.44,97,22,2.17,CA,1701925953
60,axim,4.8699,-2.2405,298.88,83,41,2.07,GH,1701925954
61,sosnovka,56.255,51.2842,242.88,100,63,0.53,RU,1701925954
62,rimouski,48.4488,-68.524,265.52,85,91,1.58,CA,1701925682
63,kirakira,-10.4544,161.9205,299.48,89,98,5.53,SB,1701925954
64,pangody,65.85,74.4859,245.08,97,100,4.24,RU,1701925955
65,trondheim,63.4305,10.3951,269.2,66,100,2.55,NO,1701925955
66,fale old settlement,-9.3852,-171.2468,302.43,73,80,3.12,TK,1701925955
67,papao,-17.75,-149.55,297.96,90,100,9.89,PF,1701925955
68,praia da vitoria,38.7333,-27.0667,288.57,88,64,4.09,PT,1701925956
69,mingshui,36.7167,117.5,290.12,21,0,4.93,CN,1701925956
70,kapuskasing,49.4169,-82.4331,268.35,95,100,2.94,CA,1701925956
71,puerto baquerizo moreno,-0.9,-89.6,296.81,86,73,4.69,EC,1701925956
